type,value
CCN(worst),21
CCN(average),2.5
CCN(violate),1
LOC(worst),99
LOC(average),14.5
LOC(violate),0
Parameter(worst),9
Parameter(average),1.2
Parameter(violate),4
Token(worst),624
Token(average),78.7
CCN(warning),127
LOC(warning),0
Parameter(warning),0
