type,value,signal,label
Lines,71.3,Lo,all
Functions,82.9,Med,all
Branches,35.5,Lo,all
Lines,71.3,Lo,gtest
Functions,82.9,Med,gtest
Branches,35.5,Lo,gtest
Lines,47.0,Lo,component_test
Functions,65.3,Lo,component_test
Branches,19.4,Lo,component_test
