type,value,signal,label
Lines,98.9,Hi,all
Functions,100.0,Hi,all
Branches,50.0,Lo,all
Lines,98.9,Hi,gtest
Functions,100.0,Hi,gtest
Branches,50.0,Lo,gtest
Lines,0.0,Lo,component_test
Functions,0.0,Lo,component_test
