type,value
CCN(worst),9
CCN(average),2.1
CCN(violate),0
LOC(worst),42
LOC(average),14.0
LOC(violate),0
Parameter(worst),9
Parameter(average),3.5
Parameter(violate),7
Token(worst),198
Token(average),59.5
CCN(warning),3
LOC(warning),0
Parameter(warning),0
