type,value
CCN(worst),15
CCN(average),2.3
CCN(violate),0
LOC(worst),75
LOC(average),14.5
LOC(violate),0
Parameter(worst),7
Parameter(average),2.1
Parameter(violate),5
Token(worst),721
Token(average),105.5
CCN(warning),14
LOC(warning),0
Parameter(warning),0
