type,value
CCN(worst),31
CCN(average),1.9
CCN(violate),2
LOC(worst),201
LOC(average),9.3
LOC(violate),1
Parameter(worst),9
Parameter(average),1.5
Parameter(violate),3
Token(worst),1868
Token(average),73.7
CCN(warning),14
LOC(warning),0
Parameter(warning),0
